ID,Group,Test1,Test2,kappa_cwf,kappa_dks,kappa_avg,time,kappa_ush
P01_F22,Gloss_Second,0.75,1,0.36469849246231156,0.5834829443447038,0.4740907184035077,Fall22,NA
P02_F22,Gloss_Second,0.5,0.75,0.14290210890777455,0.030303030303030276,0.08660257,Fall22,NA
P03_F22,Gloss_First,0.5,1,0.082475037,0.1125938281901584,0.097534433,Fall22,NA
P04_F22,Gloss_First,0.25,0.83333333,0.28462300183901545,0.23380281690140847,0.25921290937021196,Fall22,NA
P05_F22,Gloss_Second,0.41666667,0.75,0.3943954333160352,0.34954627949183303,0.3719708564039341,Fall22,NA
P06_F22,Gloss_Second,0.25,0.83333333,0,0.20239880059970017,0.10119940029985008,Fall22,NA
P07_F22,Gloss_First,0.58333333,0.66666667,0.019798416,0,0.009899208,Fall22,NA
P08_F22,Gloss_First,0.75,0.41666667,0.3110720562390158,0.3503413582464966,0.3307067072427562,Fall22,NA
P09_F22,Gloss_First,0.58333333,0.33333333,0.11834223733203819,0.13043478260869568,0.12438850997036693,Fall22,NA
P10_F22,Gloss_Second,0.33333333,0.83333333,0.315872119,0.37166900420757365,0.34377056160378683,Fall22,NA
P11_F22,Gloss_Second,0.16666667,1,0.19478368867729257,0.22814653608995294,0.21146511238362276,Fall22,NA
P12_F22,Gloss_First,0.5,0.83333333,0,0.17752234993614302,0.088761175,Fall22,NA
P13_F22,Gloss_Second,0.25,0.91666667,0,0.13650573115665166,0.068252866,Fall22,NA
P14_F22,Gloss_First,0.5,1,0.2118253822066679,0.10746196570876598,0.15964367395771695,Fall22,NA
P15_F22,Gloss_First,0.16666667,0.58333333,0,0.09148265,0.045741325,Fall22,NA
P16_F22,Gloss_First,0.25,0.75,0,0.40666874415705834,0.20333437207852917,Fall22,NA
P17_F22,Gloss_First,0.91666667,0.5,0,0.24144937351845586,0.12072468675922793,Fall22,NA
P18_F22,NA,NA,NA,0,0,0,Fall22,NA
P19_F22,NA,NA,NA,0,0.37140970617365465,0.18570485308682733,Fall22,NA
P04_F23,Gloss_First,0.777777778,NA,0,0.34577603143418467,0.11525867714472822,Fall23,0
P05_F23,Gloss_First,NA,0.777777778,0,0.2585461689587426,0.086182056,Fall23,0
P06_F23,Gloss_First,0.666666667,0.777777778,0.3784074437742554,0.4938110749185668,0.29073950623094075,Fall23,0
P07_F23,Gloss_First,0.444444444,0.555555556,0.42767184557438787,0.2991318074191003,0.3296172819215242,Fall23,0.2620481927710844
P08_F23,Gloss_First,0.666666667,0.777777778,0.3688100961538462,-0.034440843,0.23394637755730616,Fall23,0.3674698795180723
P09_F23,Gloss_First,0.888888889,0.666666667,NA,0.27450980392156876,NA,Fall23,0
P10_F23,Gloss_First,0.777777778,0.777777778,0,0.23517076093469136,0.078390254,Fall23,0
P11_F23,Gloss_First,0.666666667,0.888888889,-0.002921966,0.1720052654673102,0.056361099822436735,Fall23,0
P12_F23,Gloss_Second,0.666666667,0.666666667,0,0,0,Fall23,0
P13_F23,Gloss_Second,0.555555556,0.777777778,0,0,0,Fall23,0
P14_F23,Gloss_Second,0.333333333,0.555555556,0,0,0,Fall23,0
P15_F23,Gloss_Second,0.777777778,0.333333333,0,0,0,Fall23,0
P16_F23,Gloss_Second,0.666666667,NA,NA,NA,NA,Fall23,NA
P17_F23,Gloss_Second,0.555555556,0.555555556,0,0,0,Fall23,0
P18_F23,Gloss_Second,0.444444444,NA,0,0,0,Fall23,0
P19_F23,Gloss_Second,0.444444444,0.444444444,0,0,0,Fall23,0